"invoice_id","branch","city","category","unit_price","quantity","date","time","payment_method","rating","profit_margin","total_price","shift","day_name","unit_price_diff_from_cat_avg"
"15","WALM031","Lewisville","Health and beauty","71.38","10","2019-03-29","19:21:00","Cash","5.7","0.48","713.8","Evening","Friday","16.53"
"16","WALM008","Corpus Christi","Sports and travel","93.72","6","2019-01-15","16:19:00","Cash","4.5","0.48","562.32","Afternoon","Tuesday","36.73"
"17","WALM029","Round Rock","Health and beauty","68.93","7","2019-03-11","11:03:00","Credit card","4.6","0.48","482.51","Morning","Monday","14.08"
"18","WALM061","Cedar Park","Sports and travel","72.61","6","2019-01-01","10:39:00","Credit card","6.9","0.33","435.66","Morning","Tuesday","15.62"
"19","WALM053","Conroe","Food and beverages","54.67","3","2019-01-21","18:00:00","Credit card","8.6","0.57","164.01","Evening","Monday","-1.34"
"20","WALM013","Irving","Home and lifestyle","40.3","2","2019-03-11","15:30:00","Ewallet","4.4","0.48","80.6","Afternoon","Monday","-10.14"
"21","WALM044","Pharr","Electronic accessories","86.04","5","2019-02-25","11:24:00","Ewallet","4.8","0.48","430.2","Morning","Monday","34.4"
"22","WALM088","Cleburne","Health and beauty","87.98","3","2019-03-05","10:40:00","Ewallet","5.1","0.33","263.94","Morning","Tuesday","33.13"
"23","WALM083","Farmers Branch","Home and lifestyle","33.2","2","2019-03-15","12:20:00","Credit card","4.4","0.33","66.4","Afternoon","Friday","-17.24"
"24","WALM067","Haltom City","Electronic accessories","34.56","5","2019-02-17","11:15:00","Ewallet","9.9","0.33","172.8","Morning","Sunday","-17.08"
"25","WALM023","Midland","Sports and travel","88.63","3","2019-03-02","17:36:00","Ewallet","6","0.48","265.89","Evening","Saturday","31.64"
"26","WALM001","Houston","Home and lifestyle","52.59","8","2019-03-22","19:20:00","Credit card","8.5","0.36","420.72","Evening","Friday","2.15"
"27","WALM072","Lancaster","Fashion accessories","33.52","1","2019-02-08","15:31:00","Cash","6.7","0.33","33.52","Afternoon","Friday","-16.6"
"28","WALM046","Temple","Fashion accessories","87.67","2","2019-03-10","12:17:00","Credit card","7.7","0.48","175.34","Afternoon","Sunday","37.55"
"29","WALM012","Garland","Food and beverages","88.36","5","2019-01-25","19:48:00","Cash","9.6","0.48","441.8","Evening","Friday","32.35"
"30","WALM075","San Marcos","Health and beauty","24.89","9","2019-03-15","15:36:00","Cash","7.4","0.33","224.01","Afternoon","Friday","-29.96"
"31","WALM076","Huntsville","Fashion accessories","94.13","5","2019-02-25","19:39:00","Credit card","4.8","0.33","470.65","Evening","Monday","44.01"
"32","WALM098","Mineral Wells","Sports and travel","78.07","9","2019-01-28","12:43:00","Cash","4.5","0.18","702.63","Afternoon","Monday","21.08"
"33","WALM021","McAllen","Sports and travel","83.78","8","2019-01-10","14:49:00","Cash","5.1","0.48","670.24","Afternoon","Thursday","26.79"
"34","WALM096","Eagle Pass","Health and beauty","96.58","2","2019-03-15","10:12:00","Credit card","5.1","0.18","193.16","Morning","Friday","41.73"
"35","WALM022","Mesquite","Food and beverages","99.42","4","2019-02-06","10:42:00","Ewallet","7.5","0.48","397.68","Morning","Wednesday","43.41"
"36","WALM095","Big Spring","Sports and travel","68.12","1","2019-01-07","12:28:00","Ewallet","6.8","0.33","68.12","Afternoon","Monday","11.13"
"37","WALM041","Mission","Sports and travel","62.62","5","2019-03-10","19:15:00","Ewallet","7","0.48","313.1","Evening","Sunday","5.63"
"38","WALM070","Hurst","Electronic accessories","60.88","9","2019-01-15","17:17:00","Ewallet","4.7","0.33","547.92","Evening","Tuesday","9.24"
"39","WALM070","Hurst","Health and beauty","54.92","8","2019-03-23","13:24:00","Ewallet","7.6","0.33","439.36","Afternoon","Saturday","0.07"
"40","WALM030","Richardson","Home and lifestyle","30.12","8","2019-03-03","13:01:00","Cash","7.7","0.48","240.96","Afternoon","Sunday","-20.32"
"41","WALM033","Pearland","Home and lifestyle","86.72","1","2019-01-17","18:45:00","Ewallet","7.9","0.48","86.72","Evening","Thursday","36.28"
"42","WALM088","Cleburne","Home and lifestyle","56.11","2","2019-02-02","10:11:00","Cash","6.3","0.33","112.22","Morning","Saturday","5.67"
"43","WALM079","La Porte","Sports and travel","69.12","6","2019-02-08","13:03:00","Cash","5.6","0.33","414.72","Afternoon","Friday","12.13"
"44","WALM042","Bryan","Food and beverages","98.7","8","2019-03-04","20:39:00","Cash","7.6","0.48","789.6","Evening","Monday","42.69"
"45","WALM036","Allen","Health and beauty","15.37","2","2019-03-16","19:47:00","Cash","7.2","0.48","30.74","Evening","Saturday","-39.48"
"46","WALM056","Rowlett","Electronic accessories","93.96","4","2019-03-09","18:00:00","Cash","9.5","0.33","375.84","Evening","Saturday","42.32"
"47","WALM058","Port Arthur","Health and beauty","56.69","9","2019-02-27","17:24:00","Credit card","8.4","0.33","510.21","Evening","Wednesday","1.84"
"48","WALM015","Grand Prairie","Food and beverages","20.01","9","2019-02-06","15:47:00","Ewallet","4.1","0.48","180.09","Afternoon","Wednesday","-36"
"49","WALM063","Georgetown","Electronic accessories","18.93","6","2019-02-10","12:45:00","Credit card","8.1","0.33","113.58","Afternoon","Sunday","-32.71"
"50","WALM021","McAllen","Fashion accessories","82.63","10","2019-03-19","17:08:00","Ewallet","7.9","0.48","826.3","Evening","Tuesday","32.51"
"51","WALM089","Southlake","Food and beverages","91.4","7","2019-02-03","10:19:00","Cash","9.5","0.33","639.8","Morning","Sunday","35.39"
"52","WALM093","Angleton","Food and beverages","44.59","5","2019-02-10","15:10:00","Cash","8.5","0.33","222.95","Afternoon","Sunday","-11.42"
"53","WALM041","Mission","Fashion accessories","17.87","4","2019-03-22","14:42:00","Ewallet","6.5","0.48","71.48","Afternoon","Friday","-32.25"
"54","WALM045","Missouri City","Fashion accessories","15.43","1","2019-01-25","15:46:00","Credit card","6.1","0.48","15.43","Afternoon","Friday","-34.69"
"55","WALM005","Fort Worth","Home and lifestyle","16.16","2","2019-03-07","11:49:00","Ewallet","6.5","0.48","32.32","Morning","Thursday","-34.28"
"56","WALM042","Bryan","Electronic accessories","85.98","8","2019-02-28","19:01:00","Cash","8.2","0.48","687.84","Evening","Thursday","34.34"
"57","WALM003","San Antonio","Home and lifestyle","44.34","2","2019-03-27","11:26:00","Cash","5.8","0.36","88.68","Morning","Wednesday","-6.1"
"58","WALM070","Hurst","Health and beauty","89.6","8","2019-02-07","11:28:00","Ewallet","6.6","0.33","716.8","Morning","Thursday","34.75"
"59","WALM066","Grapevine","Home and lifestyle","72.35","10","2019-01-20","15:55:00","Cash","5.4","0.33","723.5","Afternoon","Sunday","21.91"
"60","WALM031","Lewisville","Electronic accessories","30.61","6","2019-03-12","20:36:00","Cash","9.3","0.48","183.66","Evening","Tuesday","-21.03"
"61","WALM042","Bryan","Sports and travel","24.74","3","2019-02-15","17:47:00","Credit card","10","0.48","74.22","Evening","Friday","-32.25"
"62","WALM078","Del Rio","Home and lifestyle","55.73","6","2019-02-24","10:55:00","Ewallet","7","0.33","334.38","Morning","Sunday","5.29"
"63","WALM037","League City","Sports and travel","55.07","9","2019-02-03","13:40:00","Ewallet","10","0.48","495.63","Afternoon","Sunday","-1.92"
"64","WALM069","Rockwall","Sports and travel","15.81","10","2019-03-06","12:27:00","Credit card","8.6","0.33","158.1","Afternoon","Wednesday","-41.18"
"65","WALM087","Waxahachie","Health and beauty","75.74","4","2019-02-14","14:35:00","Cash","7.6","0.33","302.96","Afternoon","Thursday","20.89"
"66","WALM042","Bryan","Health and beauty","15.87","10","2019-03-13","16:40:00","Cash","5.8","0.48","158.7","Afternoon","Wednesday","-38.98"
"67","WALM020","Killeen","Health and beauty","33.47","2","2019-02-10","15:43:00","Ewallet","6.7","0.48","66.94","Afternoon","Sunday","-21.38"
"68","WALM029","Round Rock","Fashion accessories","97.61","6","2019-01-07","15:01:00","Ewallet","9.9","0.48","585.66","Afternoon","Monday","47.49"
"69","WALM079","La Porte","Sports and travel","78.77","10","2019-01-24","10:04:00","Cash","6.4","0.33","787.7","Morning","Thursday","21.78"
"70","WALM035","San Angelo","Health and beauty","18.33","1","2019-02-02","18:50:00","Cash","4.3","0.48","18.33","Evening","Saturday","-36.52"
"71","WALM007","Arlington","Food and beverages","89.48","10","2019-01-06","12:46:00","Credit card","9.6","0.48","894.8","Afternoon","Sunday","33.47"
"72","WALM017","McKinney","Fashion accessories","62.12","10","2019-02-11","16:19:00","Cash","5.9","0.48","621.2","Afternoon","Monday","12"
"73","WALM096","Eagle Pass","Food and beverages","48.52","3","2019-03-05","18:17:00","Ewallet","4","0.18","145.56","Evening","Tuesday","-7.49"
"74","WALM083","Farmers Branch","Electronic accessories","75.91","6","2019-03-09","18:21:00","Cash","8.7","0.33","455.46","Evening","Saturday","24.27"
"75","WALM072","Lancaster","Home and lifestyle","74.67","9","2019-01-22","10:55:00","Ewallet","9.4","0.33","672.03","Morning","Tuesday","24.23"
"76","WALM003","San Antonio","Electronic accessories","41.65","10","2019-01-13","17:04:00","Credit card","5.4","0.48","416.5","Evening","Sunday","-9.99"
"77","WALM058","Port Arthur","Fashion accessories","49.04","9","2019-01-09","14:20:00","Credit card","8.6","0.33","441.36","Afternoon","Wednesday","-1.08"
"78","WALM094","Alamo","Fashion accessories","20.01","9","2019-01-12","15:48:00","Credit card","5.7","0.33","180.09","Afternoon","Saturday","-30.11"
"79","WALM063","Georgetown","Food and beverages","78.31","10","2019-03-05","16:24:00","Ewallet","6.6","0.33","783.1","Afternoon","Tuesday","22.3"
"80","WALM071","Lufkin","Health and beauty","20.38","5","2019-01-22","18:56:00","Cash","6","0.33","101.9","Evening","Tuesday","-34.47"
"81","WALM061","Cedar Park","Health and beauty","99.19","6","2019-01-21","14:42:00","Credit card","5.5","0.33","595.14","Afternoon","Monday","44.34"
"82","WALM090","Brownwood","Food and beverages","96.68","3","2019-01-26","19:56:00","Ewallet","6.4","0.33","290.04","Evening","Saturday","40.67"
"83","WALM061","Cedar Park","Food and beverages","19.25","8","2019-01-23","18:37:00","Ewallet","6.6","0.33","154","Evening","Wednesday","-36.76"
"84","WALM041","Mission","Food and beverages","80.36","4","2019-02-23","18:45:00","Ewallet","8.3","0.48","321.44","Evening","Saturday","24.35"
"85","WALM097","Alice","Sports and travel","48.91","5","2019-03-09","10:17:00","Cash","6.6","0.18","244.55","Morning","Saturday","-8.08"
"86","WALM043","Baytown","Sports and travel","83.06","7","2019-03-05","14:31:00","Ewallet","4","0.48","581.42","Afternoon","Tuesday","26.07"
"87","WALM042","Bryan","Fashion accessories","76.52","5","2019-03-25","10:23:00","Cash","9.9","0.48","382.6","Morning","Monday","26.4"
"88","WALM046","Temple","Food and beverages","49.38","7","2019-03-27","20:35:00","Credit card","7.3","0.48","345.66","Evening","Wednesday","-6.63"
"89","WALM011","Lubbock","Sports and travel","42.47","1","2019-01-02","16:57:00","Cash","5.7","0.48","42.47","Afternoon","Wednesday","-14.52"
"90","WALM064","Bedford","Health and beauty","76.99","6","2019-02-27","17:55:00","Cash","6.1","0.33","461.94","Evening","Wednesday","22.14"
"91","WALM095","Big Spring","Home and lifestyle","47.38","4","2019-01-23","10:25:00","Cash","7.1","0.33","189.52","Morning","Wednesday","-3.06"
"92","WALM049","North Richland Hills","Sports and travel","44.86","10","2019-01-26","19:54:00","Ewallet","8.2","0.48","448.6","Evening","Saturday","-12.13"
"93","WALM040","Edinburg","Sports and travel","21.98","7","2019-01-10","16:42:00","Ewallet","5.1","0.48","153.86","Afternoon","Thursday","-35.01"
"94","WALM065","Texas City","Health and beauty","64.36","9","2019-03-12","12:09:00","Credit card","8.6","0.33","579.24","Afternoon","Tuesday","9.51"
"95","WALM075","San Marcos","Health and beauty","89.75","1","2019-02-06","20:05:00","Credit card","6.6","0.33","89.75","Evening","Wednesday","34.9"
"96","WALM034","College Station","Electronic accessories","97.16","1","2019-03-08","20:38:00","Ewallet","7.2","0.48","97.16","Evening","Friday","45.52"
"97","WALM014","Amarillo","Health and beauty","87.87","10","2019-03-29","10:25:00","Ewallet","5.1","0.48","878.7","Morning","Friday","33.02"
"98","WALM096","Eagle Pass","Electronic accessories","12.45","6","2019-02-09","13:11:00","Cash","4.1","0.18","74.7","Afternoon","Saturday","-39.19"
"99","WALM004","Austin","Food and beverages","52.75","3","2019-03-23","10:16:00","Ewallet","9.3","0.48","158.25","Morning","Saturday","-3.26"
"100","WALM011","Lubbock","Home and lifestyle","82.7","6","2019-03-05","18:14:00","Cash","7.4","0.48","496.2","Evening","Tuesday","32.26"
"101","WALM075","San Marcos","Fashion accessories","48.71","1","2019-03-26","19:20:00","Cash","4.1","0.33","48.71","Evening","Tuesday","-1.41"
"102","WALM057","Euless","Fashion accessories","78.55","9","2019-03-01","13:22:00","Cash","7.2","0.33","706.95","Afternoon","Friday","28.43"
"103","WALM023","Midland","Electronic accessories","23.07","9","2019-02-01","11:27:00","Cash","4.9","0.48","207.63","Morning","Friday","-28.57"
"104","WALM012","Garland","Food and beverages","58.26","6","2019-03-28","16:44:00","Cash","9.9","0.48","349.56","Afternoon","Thursday","2.25"
"105","WALM078","Del Rio","Health and beauty","30.35","7","2019-03-19","18:19:00","Cash","8","0.33","212.45","Evening","Tuesday","-24.5"
"106","WALM055","Waxahachie","Electronic accessories","88.67","10","2019-01-12","14:50:00","Ewallet","7.3","0.33","886.7","Afternoon","Saturday","37.03"
"107","WALM038","Sugar Land","Fashion accessories","27.38","6","2019-01-05","20:54:00","Credit card","7.9","0.48","164.28","Evening","Saturday","-22.74"
"108","WALM049","North Richland Hills","Sports and travel","62.13","6","2019-03-22","20:19:00","Cash","7.4","0.48","372.78","Evening","Friday","5.14"
"109","WALM044","Pharr","Food and beverages","33.98","9","2019-03-24","10:43:00","Cash","4.2","0.48","305.82","Morning","Sunday","-22.03"
"110","WALM056","Rowlett","Electronic accessories","81.97","10","2019-03-03","14:30:00","Cash","9.2","0.33","819.7","Afternoon","Sunday","30.33"
"111","WALM007","Arlington","Sports and travel","16.49","2","2019-02-05","11:32:00","Ewallet","4.6","0.48","32.98","Morning","Tuesday","-40.5"
"112","WALM025","Waco","Health and beauty","98.21","3","2019-02-05","10:41:00","Credit card","7.8","0.48","294.63","Morning","Tuesday","43.36"
"113","WALM005","Fort Worth","Fashion accessories","72.84","7","2019-02-15","12:44:00","Cash","8.4","0.48","509.88","Afternoon","Friday","22.72"
"114","WALM024","Carrollton","Home and lifestyle","58.07","9","2019-01-19","20:07:00","Ewallet","4.3","0.48","522.63","Evening","Saturday","7.63"
"115","WALM003","San Antonio","Home and lifestyle","80.79","9","2019-02-01","20:31:00","Credit card","9.5","0.36","727.11","Evening","Friday","30.35"
"116","WALM087","Waxahachie","Fashion accessories","27.02","3","2019-03-02","13:01:00","Credit card","7.1","0.33","81.06","Afternoon","Saturday","-23.1"
"117","WALM040","Edinburg","Fashion accessories","21.94","5","2019-03-05","12:29:00","Ewallet","5.3","0.48","109.7","Afternoon","Tuesday","-28.18"
"118","WALM071","Lufkin","Fashion accessories","51.36","1","2019-01-16","15:26:00","Ewallet","5.2","0.33","51.36","Afternoon","Wednesday","1.24"
"119","WALM027","Abilene","Food and beverages","10.96","10","2019-02-02","20:48:00","Ewallet","6","0.48","109.6","Evening","Saturday","-45.05"
"120","WALM071","Lufkin","Home and lifestyle","53.44","2","2019-01-20","20:38:00","Ewallet","4.1","0.33","106.88","Evening","Sunday","3"
"121","WALM014","Amarillo","Electronic accessories","99.56","8","2019-02-14","17:03:00","Credit card","5.2","0.48","796.48","Evening","Thursday","47.92"
"122","WALM069","Rockwall","Sports and travel","57.12","7","2019-01-12","12:02:00","Credit card","6.5","0.33","399.84","Afternoon","Saturday","0.13"
"123","WALM085","Kerrville","Sports and travel","99.96","9","2019-03-09","17:26:00","Credit card","4.2","0.33","899.64","Evening","Saturday","42.97"
"124","WALM061","Cedar Park","Home and lifestyle","63.91","8","2019-03-13","19:52:00","Credit card","4.6","0.33","511.28","Evening","Wednesday","13.47"
"125","WALM088","Cleburne","Fashion accessories","56.47","8","2019-03-09","14:57:00","Ewallet","7.3","0.33","451.76","Afternoon","Saturday","6.35"
"126","WALM034","College Station","Home and lifestyle","93.69","7","2019-03-10","18:44:00","Credit card","4.5","0.48","655.83","Evening","Sunday","43.25"
"127","WALM016","Brownsville","Sports and travel","32.25","5","2019-01-27","13:26:00","Cash","9","0.48","161.25","Afternoon","Sunday","-24.74"
"128","WALM044","Pharr","Fashion accessories","31.73","9","2019-01-08","16:17:00","Credit card","5.9","0.48","285.57","Afternoon","Tuesday","-18.39"
"129","WALM035","San Angelo","Food and beverages","68.54","8","2019-01-08","15:57:00","Ewallet","8.5","0.48","548.32","Afternoon","Tuesday","12.53"
"130","WALM018","Frisco","Sports and travel","90.28","9","2019-02-08","11:15:00","Ewallet","7.2","0.48","812.52","Morning","Friday","33.29"
"131","WALM022","Mesquite","Fashion accessories","39.62","7","2019-01-25","13:18:00","Cash","7.5","0.48","277.34","Afternoon","Friday","-10.5"
"132","WALM068","Burleson","Sports and travel","92.13","6","2019-03-06","20:34:00","Cash","8.3","0.33","552.78","Evening","Wednesday","35.14"
"133","WALM055","Waxahachie","Sports and travel","34.84","4","2019-02-10","18:36:00","Cash","7.4","0.33","139.36","Evening","Sunday","-22.15"
"134","WALM002","Dallas","Electronic accessories","87.45","6","2019-02-17","14:40:00","Credit card","8.8","0.36","524.7","Afternoon","Sunday","35.81"
"135","WALM062","Galveston","Health and beauty","81.3","6","2019-03-08","16:43:00","Ewallet","5.3","0.33","487.8","Afternoon","Friday","26.45"
"136","WALM098","Mineral Wells","Fashion accessories","90.22","3","2019-02-18","19:39:00","Cash","6.2","0.18","270.66","Evening","Monday","40.1"
"137","WALM027","Abilene","Electronic accessories","26.31","5","2019-01-18","20:59:00","Credit card","8.8","0.48","131.55","Evening","Friday","-25.33"
"138","WALM093","Angleton","Home and lifestyle","34.42","6","2019-02-18","15:39:00","Cash","9.8","0.33","206.52","Afternoon","Monday","-16.02"
"139","WALM029","Round Rock","Sports and travel","51.91","10","2019-02-16","12:21:00","Cash","8.2","0.48","519.1","Afternoon","Saturday","-5.08"
"140","WALM016","Brownsville","Sports and travel","72.5","8","2019-03-16","19:25:00","Ewallet","9.2","0.48","580","Evening","Saturday","15.51"
"141","WALM023","Midland","Sports and travel","89.8","10","2019-01-23","13:00:00","Credit card","5.4","0.48","898","Afternoon","Wednesday","32.81"
"142","WALM012","Garland","Health and beauty","90.5","10","2019-01-25","13:48:00","Cash","8.1","0.48","905","Afternoon","Friday","35.65"
"143","WALM052","Mansfield","Health and beauty","68.6","10","2019-02-05","19:57:00","Cash","9.1","0.57","686","Evening","Tuesday","13.75"
"144","WALM097","Alice","Food and beverages","30.41","1","2019-02-22","10:36:00","Credit card","8.4","0.18","30.41","Morning","Friday","-25.6"
"145","WALM045","Missouri City","Home and lifestyle","77.95","6","2019-01-21","16:37:00","Credit card","8","0.48","467.7","Afternoon","Monday","27.51"
"146","WALM047","Flower Mound","Health and beauty","46.26","6","2019-03-08","17:11:00","Credit card","9.5","0.48","277.56","Evening","Friday","-8.59"
"147","WALM026","Denton","Fashion accessories","30.14","10","2019-02-10","12:28:00","Ewallet","9.2","0.48","301.4","Afternoon","Sunday","-19.98"
"148","WALM054","Sherman","Health and beauty","66.14","4","2019-03-19","12:46:00","Credit card","5.6","0.21","264.56","Afternoon","Tuesday","11.29"
"149","WALM049","North Richland Hills","Home and lifestyle","71.86","8","2019-03-06","15:07:00","Credit card","6.2","0.48","574.88","Afternoon","Wednesday","21.42"
"150","WALM065","Texas City","Health and beauty","32.46","8","2019-03-27","13:48:00","Credit card","4.9","0.33","259.68","Afternoon","Wednesday","-22.39"
"151","WALM016","Brownsville","Fashion accessories","91.54","4","2019-03-23","19:20:00","Credit card","4.8","0.48","366.16","Evening","Saturday","41.42"
"152","WALM070","Hurst","Sports and travel","34.56","7","2019-03-11","16:07:00","Credit card","7.3","0.33","241.92","Afternoon","Monday","-22.43"
"153","WALM099","Weatherford","Fashion accessories","83.24","9","2019-01-29","11:56:00","Credit card","7.4","0.18","749.16","Morning","Tuesday","33.12"
"154","WALM071","Lufkin","Food and beverages","16.48","6","2019-02-07","18:23:00","Ewallet","9.9","0.33","98.88","Evening","Thursday","-39.53"
"155","WALM078","Del Rio","Sports and travel","80.97","8","2019-01-28","13:05:00","Cash","9.3","0.33","647.76","Afternoon","Monday","23.98"
"156","WALM074","Weslaco","Food and beverages","92.29","5","2019-02-20","15:55:00","Cash","9","0.33","461.45","Afternoon","Wednesday","36.28"
"157","WALM042","Bryan","Electronic accessories","72.17","1","2019-01-04","19:40:00","Cash","6.1","0.48","72.17","Evening","Friday","20.53"
"158","WALM013","Irving","Home and lifestyle","50.28","5","2019-03-07","13:58:00","Ewallet","9.7","0.48","251.4","Afternoon","Thursday","-0.16"
"159","WALM100","Canyon","Health and beauty","97.22","9","2019-03-30","14:43:00","Ewallet","6","0.18","874.98","Afternoon","Saturday","42.37"
"160","WALM094","Alamo","Sports and travel","93.39","6","2019-03-27","19:18:00","Ewallet","10","0.33","560.34","Evening","Wednesday","36.4"
"161","WALM028","Odessa","Food and beverages","43.18","8","2019-01-19","19:39:00","Credit card","8.3","0.48","345.44","Evening","Saturday","-12.83"
"162","WALM019","Pasadena","Sports and travel","63.69","1","2019-02-25","16:21:00","Cash","6","0.48","63.69","Afternoon","Monday","6.7"
"163","WALM011","Lubbock","Food and beverages","45.79","7","2019-03-13","19:44:00","Credit card","7","0.48","320.53","Evening","Wednesday","-10.22"
"164","WALM084","Schertz","Sports and travel","76.4","2","2019-01-30","19:42:00","Ewallet","6.5","0.33","152.8","Evening","Wednesday","19.41"
"165","WALM057","Euless","Food and beverages","39.9","10","2019-02-20","15:24:00","Credit card","5.9","0.33","399","Afternoon","Wednesday","-16.11"
"166","WALM088","Cleburne","Health and beauty","42.57","8","2019-02-25","14:12:00","Ewallet","5.6","0.33","340.56","Afternoon","Monday","-12.28"
"167","WALM061","Cedar Park","Home and lifestyle","95.58","10","2019-01-16","13:32:00","Cash","4.8","0.33","955.8","Afternoon","Wednesday","45.14"
"168","WALM040","Edinburg","Fashion accessories","98.98","10","2019-02-08","16:20:00","Credit card","8.7","0.48","989.8","Afternoon","Friday","48.86"
"169","WALM069","Rockwall","Food and beverages","51.28","6","2019-01-19","16:31:00","Cash","6.5","0.33","307.68","Afternoon","Saturday","-4.73"
"170","WALM089","Southlake","Sports and travel","69.52","7","2019-02-01","15:10:00","Credit card","8.5","0.33","486.64","Afternoon","Friday","12.53"
"171","WALM031","Lewisville","Health and beauty","70.01","5","2019-01-03","11:36:00","Ewallet","5.5","0.48","350.05","Morning","Thursday","15.16"
"172","WALM039","Longview","Food and beverages","80.05","5","2019-01-26","12:45:00","Credit card","9.4","0.48","400.25","Afternoon","Saturday","24.04"
"173","WALM039","Longview","Electronic accessories","20.85","8","2019-03-03","19:17:00","Cash","6.3","0.48","166.8","Evening","Sunday","-30.79"
"174","WALM047","Flower Mound","Electronic accessories","52.89","6","2019-01-19","17:34:00","Credit card","9.8","0.48","317.34","Evening","Saturday","1.25"
"175","WALM071","Lufkin","Food and beverages","19.79","8","2019-01-18","12:04:00","Ewallet","8.7","0.33","158.32","Afternoon","Friday","-36.22"
"176","WALM060","DeSoto","Home and lifestyle","33.84","9","2019-03-21","16:21:00","Ewallet","8.8","0.33","304.56","Afternoon","Thursday","-16.6"
"177","WALM073","Seguin","Food and beverages","22.17","8","2019-03-03","17:01:00","Credit card","9.6","0.33","177.36","Evening","Sunday","-33.84"
"178","WALM059","Pflugerville","Fashion accessories","22.51","7","2019-02-13","10:50:00","Credit card","4.8","0.33","157.57","Morning","Wednesday","-27.61"
"179","WALM012","Garland","Food and beverages","73.88","6","2019-03-23","19:16:00","Ewallet","4.4","0.48","443.28","Evening","Saturday","17.87"
"180","WALM086","Rosenberg","Health and beauty","86.8","3","2019-01-28","16:47:00","Ewallet","9.9","0.33","260.4","Afternoon","Monday","31.95"
"181","WALM073","Seguin","Fashion accessories","64.26","7","2019-02-09","10:00:00","Cash","5.7","0.33","449.82","Morning","Saturday","14.14"
"182","WALM028","Odessa","Food and beverages","38.47","8","2019-01-23","11:51:00","Cash","7.7","0.48","307.76","Morning","Wednesday","-17.54"
"183","WALM053","Conroe","Sports and travel","15.5","10","2019-03-23","10:55:00","Ewallet","8","0.57","155","Morning","Saturday","-41.49"
"184","WALM024","Carrollton","Health and beauty","34.31","8","2019-01-25","15:00:00","Ewallet","5.7","0.48","274.48","Afternoon","Friday","-20.54"
"185","WALM097","Alice","Sports and travel","12.34","7","2019-03-04","11:19:00","Credit card","6.7","0.18","86.38","Morning","Monday","-44.65"
"186","WALM072","Lancaster","Food and beverages","18.08","3","2019-03-05","19:46:00","Ewallet","8","0.33","54.24","Evening","Tuesday","-37.93"
"187","WALM023","Midland","Home and lifestyle","94.49","8","2019-03-03","19:00:00","Ewallet","7.5","0.48","755.92","Evening","Sunday","44.05"
"188","WALM038","Sugar Land","Home and lifestyle","46.47","4","2019-02-08","10:53:00","Cash","7","0.48","185.88","Morning","Friday","-3.97"
"189","WALM078","Del Rio","Home and lifestyle","74.07","1","2019-02-10","12:50:00","Ewallet","9.9","0.33","74.07","Afternoon","Sunday","23.63"
"190","WALM084","Schertz","Home and lifestyle","69.81","4","2019-01-28","20:50:00","Credit card","5.9","0.33","279.24","Evening","Monday","19.37"
"191","WALM059","Pflugerville","Home and lifestyle","77.04","3","2019-02-11","10:39:00","Credit card","7.2","0.33","231.12","Morning","Monday","26.6"
